course_title,course_subtitle,course_description,course_type,duration,price,location,course_delivery
   Excel 2019 - Level 4 Formatting and Proofing," First Response Training & Consultancy Services Ltd   
 				","This course covers topics included in the Microsoft Office Specialist (MOS) exam 77-727. You will use AutoFill and Paste options,...
 			",   Professional Training, Online courses,  Online,  ,
   People Analytics Bootcamp," Informa Middle East   
 				","It has often been said that HR leaders are missing a great opportunity to add value. A strong case can...
 			",   Professional Training, 4 days," From 5,195 USD", Dubai,  Classroom
   Introduction to Data Analytics and Machine Learning with Python," City University London   
 				","Understand the key principles of analysis and machine learning, perfect for experienced Python programmers. You will learn the state of...
 			",   Professional Training, 10 weeks, From 560 GBP, Online courses,  Virtual Classroom (Online)
   Certificate in Data Analysis Skills," Informa Middle East   
 				","Learn data analysis techniques and how to improve your business’ operations by attending our data analytics certification course. Through this...
 			",   Professional Training, 5 days," From 5,695 USD", Dubai,  Classroom
   Data analysis with Power BI," City Lit   
 				","Data analysis with Power BI : Power BI is a free application that allows to connect to, transform, and visualize...
 			",   Leisure / Fun Classes, 2 weeks, From 279 GBP, London,  Classroom
   Data Analysis," CodeClan   
 				","An immersive 70-day professional Data Analysis course to accelerate data analysis skills in Scotland. After 14 weeks, students will finish...
 			",   Professional Training, 14 weeks," From 6,250 GBP", Online courses,"  Online, Virtual Classroom (Online)"
   Data Mining & Business Intelligence," Informa Middle East   
 				","Information is power. And information comes from data. But with the massive amount of data that is available to all...
 			",   Professional Training, 3 days," From 4,195 USD", Multiple (2),
   Statistics - Presenting Data, Royal Statistical Society,, From 306 GBP, Islington,  Classroom,  ,
   Data Analysis Certificate," New Skills Academy   
 				","Data is everywhere, and it is becoming an increasingly important part of working life, regardless of industry or position. Making...
 			",   Professional Training, 0.7 hours, From 20 GBP, Online courses,  Online
   Big Data Analytics for Managers & Business Leaders - Arabic," Informa Middle East   
 				","دورة تحليل البيانات الضخمة للقادة والمدراء أُعِدت خصيصا لإمدادك بالمادة الأهم في اتخاذ القرارات ألا وهي البيانات. ستتعرف على أدوات...
 			",   Professional Training, 4 days," From 5,195 USD", Dubai,  Classroom
   Risk Assessing Bank Operations Using Data Analytics," ACI Learning   
 				","The one TRUE fact about any organization is that it is the operations that determine your success or failure as...
 			",   Professional Training, 4 days," From 2,063 USD", Online courses,  Virtual Classroom (Online)
   Statistics - Longitudinal and Missing Data, Royal Statistical Society,, 2 days, From 478 GBP, Islington,  Classroom,  
   A Comprehensive Introduction to ACL™ Analytics," ACI Learning   
 				","This course provides the fundamentals, covers the data analytic phases of importing data, preparing data, analyzing data and reporting results....
 			",   Professional Training, 3 days, Worldwide,  In Company,  Beginner level
   Certificate in Advanced Data Analysis," Informa Middle East   
 				","The modern organisational manager or specialist is expected to work with the masses of data available from organisation-wide IT systems...
 			",   Professional Training, 5 days," From 5,695 USD", Dubai,  Classroom
   Basic Statistics - Understanding and Analysing Data, Royal Statistical Society,, 2 days, From 478 GBP, Islington,  Classroom,  
   Building a Risk Model for Auditing Central Support Functions Utilizing Data Analytics OAR255," ACI Learning   
 				","A tremendous amount of cost is incurred in those areas that are necessary to operate but are not self-supporting from...
 			",   Professional Training, 4 days," From 2,063 USD", Online courses,  Virtual Classroom (Online)
   Scripting with ACL™ Analytics," ACI Learning   
 				","A comprehensive coverage of scripting using a hands-on approach. It includes how to script the import, preparation, and analysis phases...
 			",   Professional Training, 3 days, Worldwide,  In Company,  Intermediate level
   Data Analysis & Dashboard Reporting in Excel," Informa Middle East   
 				","The VisiCalc row-and-column-based layout introduced in 1978 is what we know as spreadsheets today. These have evolved to become powerful...
 			",   Professional Training, 4 days," From 5,195 USD", Dubai,  Classroom
   Data Mining for Auditors," ACI Learning   
 				","In this extremely informative three-day seminar we will cover all of the critical aspects of data mining that any auditor...
 			",   Professional Training, 3 days," From 1,833 USD", Dallas,  Classroom
   People Analytics Accredited Programme," CIPD Learning   
 				","Created by two recognised leading experts in the field, Trish Uhl and Tracey Smith, this accredited programme will provide you...
 			",   Professional Training," From 1,765 GBP", Online courses,  Online,  
   Data Analysis (How to Build Interactive Dashboards Using Futuristic Tools) - Arabic," Informa Middle East   
 				","يتيح لك هذا البرنامج تطوير فهم عميق لكافة مبادئ وأسس علم تحليل البيانات وكذلك إعداد التقارير التفاعلية، سوف تتعلم العديد...
 			",   Professional Training, 4 days," From 5,195 USD", Multiple (2),
   Python for Data," CodeClan   
 				","Python is becoming an ever more popular tool for data analysis and data science. Get an introduction to Python for...
 			",   Professional Training, 2 days, From 200 GBP, Online courses,  Virtual Classroom (Online)
   NCFE Level 2 Certificate in Data Analysis," New City College   
 				","What does this qualification cover? This qualification is designed for learners who want to improve their knowledge and skills of...
 			",   Vocational & College Courses, London,  Classroom,  ,
   NCFE Level 2 Certificate in Data Analysis," West London College   
 				","What does this qualification cover? This qualification is designed for learners who want to improve their knowledge and skills of...
 			",   Vocational & College Courses, London,  Classroom,  ,
   NCFE Level 2 Certificate in Data Analysis," Westminster Kingsway College   
 				","What does this qualification cover? This qualification is designed for learners who want to improve their knowledge and skills of...
 			",   Vocational & College Courses, London,  Classroom,  ,
   Big Data Processing," Queen Mary University Enterprise Zone   
 				","Big Data Processing covers the new large-scale programming models that allow to easily create algorithms that process massive amounts of...
 			",   Corporate Training for Teams, 25 hours," From 1,300 GBP", Multiple (2),
   Building and Scaling a Data Science Culture," IIL Europe   
 				","As your data and AI teams scale from one to thousands of employees, you will encounter roadblocks along the way....
 			",   Professional Training, From 15 USD, Online courses,  Online,  
   Visualisation for Geographic Data Science," University of Leeds - Institute for Transport Studies   
 				","This module will equip students with the technical and critical reasoning skills to explore, analyse and communicate structure in geospatial...
 			",   Professional Training," From 1,064 GBP", Online courses,  Online,  This course results in CPD hours
   Extreme Value Statistics, Royal Statistical Society,, 2 days, From 478 GBP, Islington,  Classroom,  
   Statistics - Survival Analysis, Royal Statistical Society,, 2 days, From 478 GBP, Islington,  Classroom,  
   GIS Data Visualisation and Analysis 1," University of Leeds - Institute for Transport Studies   
 				","This module develops core visualisation and spatial analysis and statistical skills required for the analysis of geographically referenced data. Students...
 			",   Professional Training," From 1,064 GBP", Online courses,  Online,  This course results in CPD hours
   Data Analyst – Level 4 Apprenticeship," Ixion Holdings Ltd   
 				","Found in any sector that uses data to make business decisions, data analysts work to ascertain how data can be...
 			",   Apprenticeship training for companies, 24 months, England,  Classroom,  
   Statistics - The Essentials of Survey Research Design, Royal Statistical Society,, 2 days, From 478 GBP, Islington,  Classroom,  
   Identifying Trends and making Forecasts - statistical analysis, Royal Statistical Society,, 2 days, From 478 GBP, Islington,  Classroom,  
   Statistics - Introduction to R & Regression Modelling in R, Royal Statistical Society,, 2 days, From 464 GBP, Manchester,  Classroom,  
   SQL for Data Analysis," CodeClan   
 				","SQL is one of the most popular tools for data analysis. It’s used in almost every industry and it ranked...
 			",   Professional Training, 2 days, From 200 GBP, Online courses,  Virtual Classroom (Online)
   Level 2: Data Testing and Analysis," Energy Institute   
 				","This online course provides an overview of the principles of data testing and analysis for energy management. On this course...
 			",   Professional Training, 10 hours, From 270 GBP, Online courses,"  Online, In Company"
   Analysis of Linked Health Data," University of Western Australia - School of Population and Global Health   
 				","This unit introduces the topic of linked health data analysis at an introductory to intermediate level. It fills a gap...
 			",   Postgraduate Education, 1 week, Multiple (2),,"Classroom, Online"
   Presenting Numerical Data," The Institute of Workplace and Facilities Management (IWFM)   
 				","You may be a data whizz, but is your audience? Explore how to best communicate numerical data to all audiences....
 			",   Professional Training, 4 hours, From 99 GBP, Online courses,  Online
   Advanced Analysis of Linked Health Data," University of Western Australia - School of Population and Global Health   
 				","This unit is taught at an intermediate to advanced level and assumes that students have completed PUBH5785 Introductory Analysis of...
 			",   Postgraduate Education, 1 week, Multiple (2),,"Classroom, Online"
   Functions and Case Studies within ACL™ Analytics," ACI Learning   
 				","This course covers ways to create risk statements, assess fraud risk, and verify the necessary controls are in place. It...
 			",   Professional Training, 2 days, Worldwide,  In Company,  Intermediate level
   Certificate in Strategic Business Intelligence," Informa Middle East   
 				","To successfully compete in today's global business environment an organisation must constantly monitor, recognise and understand every aspect and every...
 			",   Professional Training, 4 days," From 5,195 USD", Dubai,  Classroom
   AI in Project Management: The Next Generation of Project Decision Making," IIL Europe   
 				","Project managers need to make critical project decisions on a daily basis. They are confronted with increasing complexities, high ambiguity...
 			",   Professional Training, From 10 USD, Online courses,  Online,  
   Helpdesk Support Analyst Certificate," New Skills Academy   
 				","Learning about the Helpdesk Support Analyst position is vital for everyone who wants to expand their knowledge on every aspect...
 			",   Professional Training, 0.7 hours, From 20 GBP, Online courses,  Online
   Statistical Computing," University of Southhampton - Southampton Statistical Sciences Research Institute   
 				","This module aims to give students a grounding in the use of statistical software for data manipulation, analysis and simulation....
 			",   Professional Training, Multiple (2),,"Classroom, Online",  This course results in CPD hours
   Level 2 Digital Skills for Work (Business) - Free Online Course," Learning Curve Group   
 				","Almost all businesses today use digital technology. For many roles, you need to understand how to use digital skills to...
 			",   Professional Training, 6 weeks, Online courses,  Online,  Beginner level
   Deep Dive into Event Related Potentials Technique," ScienceBeam   
 				","What is ERPLAB toolbox? ERPLAB toolbox is a freely available, open-source toolbox for processing and analyzing event-related potential (ERP) data...
 			",   Professional Training, 3 weeks, From 130 USD, Online courses,  Online
   Web-based GIS," University of Leeds - Institute for Transport Studies   
 				","This module aims to equip students with the knowledge and skills to develop web-based mapping applications using popular and industry-standard...
 			",   Professional Training," From 1,064 GBP", Online courses,  Online,  This course results in CPD hours
   Real-World Use Cases for AI," IIL Europe   
 				","In this session, we’ll look at the impact of several recent developments in Artificial Intelligence (AI) including the areas of...
 			",   Professional Training, From 15 USD, Online courses,  Online,  
   International Year One in Business," UWE Bristol's International College   
 				","International Year One in Business: Business is actually an incredibly broad field of study, and can encompass everything from Accounting...
 			",   Vocational & College Courses, 10.5 months," From 1,272 GBP", Bristol,  Classroom
   Methodological aspects of human research with transcranial electrical stimulation (tES)," ScienceBeam   
 				","Methodological aspects of human research with transcranial electrical stimulation (tES) Instructor : Dr. Md Ali Salehinejad is a cognitive neuroscientist...
 			",   Professional Training, 1 hour, From 0 GBP, Online courses,  Virtual Classroom (Online)
   Machine Learning for Risk Managers," Risk Training   
 				","Machine learning tools can detect and prevent risk incidents, while also alleviating many of the menial tasks of risk managers....
 			",   Professional Training, 3 days," From 1,499 USD", Online courses,  Virtual Classroom (Online)
